Loaded test-roms/TST8080.COM to 0x0100, Size: 1536 bytes
PC: 037B, AF: 3916, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (85 87 FE F0)
PC: 037C, AF: 7816, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (87 FE F0 C4)
PC: 037D, AF: F096, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (FE F0 C4 A0)
PC: 037F, AF: F056, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (C4 A0 06 90)
PC: 0382, AF: F056, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (90 91 92 93)
PC: 0383, AF: EF82, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (91 92 93 94)
PC: 0384, AF: EC92, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (92 93 94 95)
PC: 0385, AF: E592, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (93 94 95 FE)
PC: 0386, AF: D682, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (94 95 FE 78)
PC: 0387, AF: B786, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (95 FE 78 C4)
PC: 0388, AF: 7806, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (FE 78 C4 A0)
PC: 038A, AF: 7856, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (C4 A0 06 97)
PC: 038D, AF: 7856, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (97 C4 A0 06)
PC: 038E, AF: 0056, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (C4 A0 06 3E)
PC: 0391, AF: 0056, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (3E 80 87 06)
PC: 0393, AF: 8056, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (87 06 01 0E)
PC: 0394, AF: 0047, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (06 01 0E 02)
PC: 0396, AF: 0047, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (0E 02 16 03)
PC: 0398, AF: 0047, BC: 0102, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (16 03 1E 04)
PC: 039A, AF: 0047, BC: 0102, DE: 030F, HL: 1F3F, SP: 07BD, CYC: 0 (1E 04 26 05)
